,,,,% VOTES,
CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED,
Constituency 1. NERELA,TOTAL ELECTORS :,,241032,,
1 SHARAD KUMAR,M  40 GEN AAAP Broom  95887  256,,96143,59.97,
2 NEEL DAMAN KHATRI,M  44 GEN BJP Lotus  54610  1241,,55851,34.84,
3 PRAVEEN KUMAR BHUGRA,M  46 GEN INC Hand  4619  24,,4643,2.9,
4 ROOPESH BHARDWAJ,M  40 GEN BSP Elephant  1648  14,,1662,1.04,
5 None of the Above,NOTA NOTA  764  3,,767,0.48,
6 BRIJ MOHAN,M  37 GEN SHS Bow &  477  1,,478,0.3,
,Arrow,,,,
7 SURENDER,M  48 GEN CPI(ML) Cup &  362  1,,363,0.23,
,(L) Saucer,,,,
8 MANOJ KUMAR,M  42 GEN IND Hat  218  0,,218,0.14,
9 AJAY MUDGIL,M  30 GEN IND Coconut  191  0,,191,0.12,
TURNOUT,TOTAL:  158776  1540,,160316,66.51,
Constituency 2. BURARI,TOTAL ELECTORS :,,288420,,
1 SANJEEV JHA,M  35 GEN AAAP Broom  124476  248,,124724,63.82,
2 GOPAL JHA,M  46 GEN BJP Lotus  55988  786,,56774,29.05,
3 J S CHAUHAN,M  66 GEN INC Hand  6683  67,,6750,3.45,
4 RAMBIR,M  42 SC BSP Elephant  2319  24,,2343,1.2,
5 MANAGER CHAURASIYA,M  45 GEN SUCI Battery  929  1,,930,0.48,
,Torch,,,,
6 DHARAM PAL SINGH,M  49 GEN SHS Bow &  560  1,,561,0.29,
,Arrow,,,,
7 KHADAK LAL,M  63 GEN IND Auto-  540  0,,540,0.28,
,Rickshaw,,,,
8 RICHA MUNDRA,F  37 GEN SASAPT Television  531  1,,532,0.27,
9 NAFE SINGH RAJPUT,M  41 GEN IND Brush  435  0,,435,0.22,
10 None of the Above,NOTA NOTA  410  3,,413,0.21,
11 PREM SHANKAR SHARMA,M  51 GEN ABSPAR Pen Stand  382  0,,382,0.2,
,TY,,,,
12 MADHU DIWAKAR,"F  45 GEN CPM Hammer,  249  1",,250,0.13,
,Sickle and,,,,
,Star,,,,
13 RANJAN KUMAR SINGH,M  29 GEN BAJD Hat  155  3,,158,0.08,
14 SUSHIL KUMAR MISHRA,M  41 GEN ABHM Coconut  130  0,,130,0.07,
15 GULAB SINGHAL,M  39 GEN RAJP Cauliflowe  110  0,,110,0.06,
,r,,,,
16 RAJBIR SINGH,M  34 SC IND Gas  108  1,,109,0.06,
,Cylinder,,,,
17 PRAVEN KUMAR,M  26 GEN GAAP Plate  90  15,,105,0.05,
,Containing,,,,
,Food,,,,
18 PANKAJ KUMAR,M  38 GEN PPGP Envelope  96  0,,96,0.05,
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
19,KALPANA GUPTA,F  28 GEN RPI(A) Sewing  85  0,,85,0.04
,,Machine,,,
TURNOUT,,TOTAL:  194276  1151,,195427,67.76
Constituency,3. TIMARPUR,TOTAL ELECTORS :,,188992,
1,PANKAJ PUSHKAR,M  42 GEN AAAP Broom  64234  243,,64477,51.05
2,RAJNI ABBI,F  52 GEN BJP Lotus  43460  370,,43830,34.7
3,SURINDER PAL SINGH,M  54 GEN INC Hand  14572  70,,14642,11.59
4,MANOJ,M  37 GEN BSP Elephant  583  9,,592,0.47
5,HARJINDER SINGH,M  49 GEN IND Battery  581  0,,581,0.46
,,Torch,,,
6,None of the Above,NOTA NOTA  551  4,,555,0.44
7,SANJEEV KUMAR RANA,M  46 GEN CPI Ears of  539  3,,542,0.43
,,Corn And,,,
,,Sickle,,,
8,CHAND MIYA,M  25 GEN IND Bat  448  0,,448,0.35
9,SAVITA CHAUDHARY,F  52 SC IND Plate  170  0,,170,0.13
,,Containing,,,
,,Food,,,
10,GUNJAN KUMAR,M  30 GEN IND Batsman  129  0,,129,0.1
11,SHESH NATH GOSWAMI,M  32 GEN ABSPAR Pen Stand  119  0,,119,0.09
,,TY,,,
12,RAMESH,M  34 SC REP Auto-  99  0,,99,0.08
,,Rickshaw,,,
13,PARAS NATH YADAV,M  46 GEN BJDI Hat  61  0,,61,0.05
14,VIDYA,F  39 SC PSPART Whistle  51  1,,52,0.04
,,Y,,,
TURNOUT,,TOTAL:  125597  700,,126297,66.83
Constituency,4. ADARSH NAGAR,TOTAL ELECTORS :,,157749,
1,PAWAN KUMAR SHARMA,M  44 GEN AAAP Broom  53918  108,,54026,51.36
2,RAM KISHAN SINGHAL,M  63 GEN BJP Lotus  32863  422,,33285,31.64
3,MUKESH KUMAR GOEL,M  54 GEN INC Hand  15278  63,,15341,14.59
4,VIJAY KUMAR AGGARWAL,M  53 GEN IND Battery  690  4,,694,0.66
,,Torch,,,
5,RAMNIWAS,M  40 SC BSP Elephant  677  2,,679,0.65
6,None of the Above,NOTA NOTA  455  4,,459,0.44
7,LAL SINGH,M  44 GEN IND Brush  263  0,,263,0.25
8,SUNIL,M  34 GEN IND Auto-  194  0,,194,0.18
,,Rickshaw,,,
9,NARESH KUMAR CHOUBEY,M  48 GEN BJKD Candles  108  0,,108,0.1
10,SUMAN,F  40 GEN RPI(A) Sewing  73  0,,73,0.07
,,Machine,,,
11,KRISHNA KUMAR SINGH,M  41 GEN BJDI Hat  61  0,,61,0.06
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
TURNOUT,,TOTAL:  104580  603,,105183,66.68
Constituency,5. BADLI,TOTAL ELECTORS :,,223268,
1 AJESH YADAV,,M  47 GEN AAAP Broom  72702  93,,72795,51.14
2 DEVENDER YADAV,,M  43 GEN INC Hand  37343  76,,37419,26.29
3 RAJESH YADAV,,M  41 GEN BJP Lotus  28089  149,,28238,19.84
4 RAKESH KUMAR,,M  40 GEN SUCI Battery  947  0,,947,0.67
,,Torch,,,
5 ANAND PRAKASH RANA,,M  35 GEN IND Saw  729  0,,729,0.51
6 None of the Above,,NOTA NOTA  710  3,,713,0.5
7 DR. MD. JAWED HABIB,,M  40 GEN BSP Elephant  684  1,,685,0.48
8 JAI PAL,,M  40 GEN IND Brush  293  0,,293,0.21
9 HARI OM,,M  44 GEN IND Air  202  0,,202,0.14
,,Conditione,,,
,,r,,,
10 ANIL SHARMA,,M  48 GEN NCP Clock  169  0,,169,0.12
11 DEVENDER YADAV,,M  45 GEN IND Pen Nib  152  8,,160,0.11
,,with,,,
,,Seven,,,
,,Rays,,,
TURNOUT,,TOTAL:  142020  330,,142350,63.76
Constituency,6. RITHALA,TOTAL ELECTORS :,,248480,
1 MOHINDER GOYAL,,M  51 GEN AAAP Broom  93127  343,,93470,56.63
2 KULWANT RANA,,M  44 GEN BJP Lotus  63719  500,,64219,38.91
3 JAGDISH YADAV,,M  58 GEN INC Hand  5281  86,,5367,3.25
4 None of the Above,,NOTA NOTA  699  6,,705,0.43
5 PAWAN KAUSHIK,,M  44 GEN BSP Elephant  526  16,,542,0.33
6 ANURAG MISHRA,,M  25 GEN RBHP Auto-  266  0,,266,0.16
,,Rickshaw,,,
7 SUMEET KUMAR SINHA,,M  38 GEN SASAPT Television  156  0,,156,0.09
8 SUNJEET,,M  40 GEN DJP Almirah  127  0,,127,0.08
9 VIRENDER JHA,,M  52 GEN PBI Hat  126  0,,126,0.08
10 JITENDER SINGH,,M  26 SC ASSP Table  87  1,,88,0.05
TURNOUT,,TOTAL:  164114  952,,165066,66.43
Constituency,7. BAWANA  (SC),TOTAL ELECTORS :,,303108,
1 VED PARKASH,,M  41 SC AAAP Broom  108597  331,,108928,58.14
2 GUGAN SINGH,,M  66 SC BJP Lotus  57506  865,,58371,31.16
3 SURENDER KUMAR,,M  57 SC INC Hand  14652  97,,14749,7.87
4 GAJANAND,,M  44 SC BSP Elephant  3625  16,,3641,1.94
5 None of the Above,,NOTA NOTA  862  4,,866,0.46
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
6,AMOD PASWAN,M  34 SC BJDI Hat  424  1,,425,0.23
7,RAM BABU,M  62 SC RBHP Auto-  362  2,,364,0.19
,,Rickshaw,,,
TURNOUT,,TOTAL:  186028  1316,,187344,61.81
Constituency,8. MUNDKA,TOTAL ELECTORS :,,261341,
1,SUKHVIR SINGH,M  53 GEN AAAP Broom  93980  226,,94206,57.22
2,AZAD SINGH,M  63 GEN BJP Lotus  52781  599,,53380,32.42
3,REETA,F  34 GEN INC Hand  13418  28,,13446,8.17
4,OM PARKASH,M  51 GEN BSP Elephant  769  9,,778,0.47
5,None of the Above,NOTA NOTA  573  3,,576,0.35
6,RAVI SWAROOP,M  49 GEN RBHP Battery  548  2,,550,0.33
,,Torch,,,
7,UDEY VIR,M  60 GEN SASAPT Television  361  0,,361,0.22
8,VIRANDER SINGH,M  49 GEN IND Glass  341  0,,341,0.21
,,Tumbler,,,
9,RAMBALI SHAH,M  47 GEN IND Pen Nib  240  0,,240,0.15
,,with,,,
,,Seven,,,
,,Rays,,,
10,ANIL KUMAR,M  39 GEN IND Cup &  177  2,,179,0.11
,,Saucer,,,
11,VIJAY KUMAR GARG,M  45 GEN DJP Almirah  156  1,,157,0.1
12,JASMER SINGH,M  39 GEN GAAP Plate  117  0,,117,0.07
,,Containing,,,
,,Food,,,
13,RAJ KUMAR PARIHAR,M  40 GEN NCP Clock  109  1,,110,0.07
